"doy","pond","site_id","vertical_m","odo_mgL","odo_sat","temp_c","barometer","sp_cond","tds","chla_RFU","chla_ugL","pc_RFU","pc_ugL"
150,"B","B2",0.84,12.61,145.4,22.3333333333333,737.9,270,176,1.95,7.99,0.05,-0.08
150,"B","B2",0.848,12.62,145.4,22.3333333333333,737.9,270.1,176,1.97,8.06,0.06,-0.07
150,"B","B2",0.867,12.63,145.5,22.2777777777778,737.9,270.1,176,2,8.17,0.06,-0.07
150,"B","B2",0.872,12.64,145.5,22.2777777777778,737.9,270.1,176,2.01,8.23,0.07,-0.07
150,"B","B2",0.882,12.65,145.5,22.2777777777778,737.9,270.1,176,2.02,8.27,0.07,-0.07
150,"B","B2",0.898,12.65,145.6,22.2222222222222,737.9,270.1,176,2.04,8.32,0.07,-0.06
150,"B","B2",0.904,12.66,145.6,22.2222222222222,737.9,270.2,176,2.07,8.44,0.08,-0.06
150,"B","B2",0.91,12.67,145.7,22.2222222222222,737.9,270.2,176,2.08,8.49,0.08,-0.06
150,"B","B2",0.926,12.68,145.8,22.2222222222222,737.9,270.2,176,2.09,8.55,0.08,-0.06
150,"B","B2",0.934,12.69,145.8,22.1666666666667,737.9,270.3,176,2.11,8.6,0.08,-0.06
150,"B","B2",0.94,12.69,145.8,22.1666666666667,737.9,270.3,176,2.12,8.66,0.09,-0.05
150,"B","B2",0.949,12.7,145.9,22.1666666666667,737.9,270.4,176,2.15,8.78,0.09,-0.06
150,"B","B2",0.966,12.71,145.9,22.1666666666667,737.9,270.5,176,2.16,8.82,0.09,-0.05
150,"B","B2",0.972,12.72,146,22.1111111111111,737.9,270.6,176,2.18,8.88,0.1,-0.05
150,"B","B2",0.979,12.72,146,22.1111111111111,737.9,270.7,176,2.21,9.01,0.1,-0.05
150,"B","B2",0.997,12.73,146.1,22.1111111111111,737.9,270.7,176,2.23,9.08,0.1,-0.05
150,"B","B2",1.005,12.74,146.1,22.0555555555556,737.9,270.8,176,2.25,9.16,0.11,-0.04
150,"B","B2",1.012,12.74,146.1,22.0555555555556,737.9,271,176,2.27,9.25,0.11,-0.04
150,"B","B2",1.026,12.74,146.1,22.0555555555556,737.9,271.1,176,2.29,9.33,0.12,-0.04
150,"B","B2",1.033,12.75,146.1,22.0555555555556,737.9,271.4,176,2.33,9.49,0.12,-0.03
150,"B","B2",1.035,12.75,146,22,737.9,271.6,177,3.28,13.23,0.13,-0.03
150,"B","B2",1.04,12.75,146,22,737.9,271.9,177,2.91,11.76,0.13,-0.03
150,"B","B2",1.052,12.75,146,22,737.9,272.1,177,3.3,13.33,0.14,-0.02
150,"B","B3",0.011,12.78,148.5,22.7777777777778,737.9,269.3,175,1.25,5.22,0.01,-0.1
150,"B","B3",0.013,12.78,148.5,22.7777777777778,737.9,269.3,175,1.26,5.25,0.01,-0.1
150,"B","B3",0.022,12.79,148.6,22.7777777777778,737.9,269.3,175,1.26,5.25,0.01,-0.1
150,"B","B3",0.029,12.79,148.6,22.7777777777778,737.9,269.3,175,1.26,5.27,0.02,-0.1
150,"B","B3",0.033,12.8,148.6,22.7777777777778,737.9,269.3,175,1.27,5.29,0.01,-0.1
150,"B","B3",0.038,12.8,148.7,22.7777777777778,737.9,269.3,175,1.27,5.3,0.01,-0.1
150,"B","B3",0.053,12.81,148.7,22.7777777777778,737.9,269.3,175,1.27,5.28,0.02,-0.1
150,"B","B3",0.061,12.81,148.8,22.7777777777778,737.9,269.3,175,1.26,5.28,0.02,-0.1
150,"B","B3",0.067,12.81,148.8,22.7777777777778,737.9,269.3,175,1.27,5.28,0.02,-0.1
150,"B","B3",0.084,12.82,148.8,22.7777777777778,737.9,269.3,175,1.27,5.29,0.02,-0.1
150,"B","B3",0.094,12.82,148.9,22.7222222222222,737.9,269.3,175,1.27,5.3,0.02,-0.1
150,"B","B3",0.101,12.82,148.9,22.7222222222222,737.9,269.3,175,1.28,5.32,0.02,-0.1
150,"B","B3",0.108,12.83,149,22.7222222222222,737.9,269.3,175,1.28,5.32,0.02,-0.1
150,"B","B3",0.121,12.83,149,22.7222222222222,737.9,269.3,175,1.28,5.33,0.02,-0.1
150,"B","B3",0.125,12.84,149,22.7222222222222,737.9,269.3,175,1.28,5.35,0.02,-0.1
150,"B","B3",0.134,12.84,149.1,22.7222222222222,737.9,269.3,175,1.29,5.37,0.02,-0.1
150,"B","B3",0.148,12.85,149.1,22.7222222222222,737.9,269.3,175,1.29,5.38,0.02,-0.1
150,"B","B3",0.152,12.85,149.1,22.7222222222222,737.9,269.3,175,1.3,5.41,0.02,-0.1
150,"B","B3",0.157,12.85,149.2,22.7222222222222,737.9,269.3,175,1.3,5.43,0.02,-0.1
150,"B","B3",0.172,12.86,149.2,22.7222222222222,737.9,269.3,175,1.33,5.53,0.02,-0.1
150,"B","B3",0.18,12.86,149.2,22.7222222222222,737.9,269.3,175,1.33,5.55,0.02,-0.1
150,"B","B3",0.185,12.87,149.3,22.7222222222222,737.9,269.4,175,1.35,5.6,0.02,-0.1
150,"B","B3",0.196,12.87,149.3,22.7222222222222,737.9,269.4,175,1.36,5.65,0.02,-0.1
150,"B","B3",0.199,12.87,149.3,22.7222222222222,737.9,269.4,175,1.38,5.73,0.02,-0.1
150,"B","B3",0.199,12.87,149.4,22.7222222222222,737.9,269.4,175,1.39,5.77,0.02,-0.1
150,"B","B3",0.202,12.88,149.4,22.7222222222222,737.9,269.4,175,1.4,5.8,0.02,-0.1
150,"B","B3",0.206,12.88,149.4,22.7222222222222,737.9,269.4,175,1.41,5.84,0.02,-0.1
150,"B","B3",0.206,12.88,149.5,22.7222222222222,737.9,269.4,175,1.42,5.91,0.02,-0.1
150,"B","B3",0.209,12.89,149.5,22.7222222222222,737.9,269.4,175,1.43,5.93,0.02,-0.1
150,"B","B3",0.218,12.89,149.5,22.7222222222222,737.9,269.4,175,1.44,5.97,0.02,-0.1
150,"B","B3",0.224,12.89,149.6,22.7222222222222,737.9,269.4,175,1.45,6.01,0.02,-0.1
150,"B","B3",0.231,12.89,149.6,22.7222222222222,737.9,269.4,175,1.47,6.09,0.02,-0.1
150,"B","B3",0.243,12.9,149.6,22.7222222222222,737.9,269.4,175,1.48,6.11,0.02,-0.1
150,"B","B3",0.25,12.9,149.6,22.7222222222222,737.9,269.4,175,1.48,6.14,0.02,-0.1
150,"B","B3",0.253,12.9,149.7,22.7222222222222,737.9,269.4,175,1.49,6.18,0.02,-0.1
150,"B","B3",0.273,12.91,149.7,22.7222222222222,737.9,269.4,175,1.51,6.26,0.02,-0.1
150,"B","B3",0.284,12.91,149.7,22.7222222222222,737.9,269.4,175,1.52,6.3,0.01,-0.1
150,"B","B3",0.29,12.91,149.8,22.7222222222222,737.9,269.4,175,1.53,6.33,0.02,-0.1
150,"B","B3",0.3,12.91,149.8,22.6666666666667,737.9,269.4,175,1.54,6.35,0.02,-0.1
150,"B","B3",0.316,12.92,149.8,22.6666666666667,737.9,269.4,175,1.56,6.44,0.02,-0.1
150,"B","B3",0.32,12.92,149.8,22.6666666666667,737.9,269.4,175,1.57,6.49,0.02,-0.1
